mmsi,lat,lon,tradetype,callsign,hdg,trail,laststa,lastdyn,imo,satelliteutc,type,left,length,matchtype,draught,dest,width,name,cog,rot,navistatus,cnname,source,sog,eta,shipid
412763440,31374823,122504654,1,BLMQ,20500,280,1643504247,1643624790,0,0,70,100,1580,1,8100,"CHANGJIANGKOU,CN",220,YUN TAI LONG 58,20700,0,0,云泰隆58,0,2161,01-31 19:00,29B9679E624A1017
413498000,40225398,122058129,1,BVAH8,35700,200,1643622758,1643624381,0,0,70,100,1490,1,5000,"BAYUQUAN,CN",210,XIN LU SHENG 8,23790,0,5,新鹭盛8,0,0,01-29 09:40,BE64621EEFF7A9F4
370680000,38996616,117772916,2,3FJK7,30000,340,1643622527,1643624355,9216236,0,70,200,2250,0,7500,"TIANJIN,CN",320,HOANH SON SKY,17200,0,5,,0,51,01-24 14:30,3366EF154DF6ABF1
412705210,30324611,122846213,1,BVBX8,18700,270,1643374409,1643624378,0,0,70,70,1400,1,7800,"GUANGZHOU,CN",200,HONG TAI 97,18800,0,0,鸿泰97,0,5144,02-04 09:00,7F7770B3D7FDCDCF
413375916,38988260,118496000,99,,32500,280,1507729864,1610332143,0,0,70,100,1280,1,0,,230,NINGGAOXIANG758,0,0,5,宁高翔758,0,0,,E7269C8D9B370248
413230540,39080020,117807215,2,BOFP7,29600,290,1643596766,1643625013,9485904,0,70,230,1800,1,7500,"TIANJIN,CN",300,JUN DE,6480,0,5,君德,0,0,01-31 10:00,2D34622EE669E224
413376805,31487999,121297514,99,BIAQ4,13700,320,1618420090,1643245377,0,0,70,210,1900,1,10700,"JINGJIANG,CN",300,HUAHANGRONGYU,17220,525,5,华航荣誉,0,5505,04-14 13:00,6804F63BFDB9546E
413377520,40248145,122062297,1,BAUK,32200,140,1643216172,1643624820,0,0,80,60,590,1,3000,"BAYUQUAN,CN",120,GANG XING GONG 3,32270,0,0,港兴供3,0,0,09-28 07:29,CB2603D8F4C03A82
413860000,40200829,122044712,1,BVEB8,8900,290,1643583588,1643624690,9562295,0,70,200,1900,1,7200,"BAYUQUAN,CN",320,XIN HONG BAO SHI,29900,0,5,新红宝石,0,0,01-28 15:48,82E2BA44B832D248
477468500,38963622,117726094,2,VRTD4,1500,290,1643508588,1643624946,9872523,0,70,190,2000,0,10800,"TIANJIN,CN",330,JOSCO GUANGZHOU,20300,0,5,,0,51,01-27 18:00,330B840CEE609024
413405140,38951253,117987386,1,BKWE3,33600,80,1642448367,1643624710,0,0,80,70,880,1,4200,"CAOFEIDIAN,CN",130,JINCHENYOU6,0,0,1,津臣油6,0,0,01-07 11:05,DC480CB199E1B86B
414374000,38949596,117706861,1,BTJD5,29200,280,1643125118,1643624785,9535876,0,70,200,1900,1,6900,"TIANJIN,CN",320,CHANG CHANG DONG HAI,0,0,5,长昌东海,0,0,12-29 08:00,7129E3DEE6A8D0C3
413415000,26661225,119728247,1,BVFL7,13600,200,1619055699,1619081747,147456,0,100,90,960,1,3500,N  D,160,BIXIANG99,13060,0,0,碧祥99,0,2624,04-22 08:00,A2D78C24D76E8DAB
413702655,39189848,119004575,99,,21100,370,1642107583,1642415257,0,0,54,50,470,1,0,,90,YONG XING 699,25970,1200,0,永星699,0,13170,,5BF19381C633D41E
352368000,38944018,117701818,2,3EUD6,2500,240,1643536222,1643624549,9283849,0,70,170,1690,0,5500,"TIANJIN,CN",270,UNIVERSE KAISA,30500,0,5,,0,0,01-28 19:00,3E9968D7B8BFE8EA
413431420,39017109,117753020,99,0,0,150,1619605011,1622198461,0,0,90,30,300,0,0,,60,JINGANGGONG11,0,0,15,,0,0,,CF224264FF3F3884
413434660,29503383,121595578,1,BLAM7,51100,200,1643339853,1643601180,0,0,70,40,880,0,3000,"NINGBO,CN",130,ZHENSHENG1,0,0,1,,0,0,01-20 21:00,13B8F8E687AF94F7
413435970,32552672,122797883,1,BLAQ9,17800,220,1643420761,1643624471,0,0,70,120,1220,1,7100,"NINGBO,CN",180,HENG RUN DA 15,17900,0,0,恒润达15,0,5299,02-01 12:00,FF2C47E8DD9A0501
413436021,31488613,121287125,99,BLAQ9,14300,120,1559446856,1618311382,356515840,0,0,130,1220,1,4100,"YANTAI,CN",180,HENG RUN DA 15,19140,525,5,恒润达15,0,6122,06-03 23:00,4C6F5DA3D9DE008D
636013854,6154985,96407416,2,A8PX9,26800,290,1643017975,1643211526,9528574,1643623166,79,110,2250,0,9300,"RICHARDS BAY,ZA",320,MARCO,27050,0,0,,0,4990,02-13 10:00,09D8C9A0DAC4E31F
413294580,38842466,118537156,99,,27900,1060,1643573514,1643624760,0,0,70,120,1260,0,7800,"CHANGJIANGKOU,CN",200,LINJINYUANYANG,18400,0,1,,0,0,02-02 12:00,009122FD4B9A5A4F
412704140,32807548,122721014,1,BVJH5,18400,250,1643516815,1643623466,0,0,70,80,1350,1,7700,"SHANGHAI,CN",190,XINRONGSHENG29,18300,0,0,鑫荣圣29,0,5247,02-01 06:00,7F0021279B62FB62
413706760,37876433,120887733,1,BODN7,51100,180,1643613327,1643624949,0,0,70,80,1000,1,5600,GUANHEKOU ,160,HE HAI 188,36000,0,1,河海188,0,309,02-02 12:00,A8CE946CFC6622B3
413455910,38953649,117731894,1,BLBC8,300,150,1643557042,1643624762,0,0,80,80,790,1,3800,"TIANJIN,CN",150,NING FENG YOU 6,32600,0,5,宁丰油6,0,0,01-28 07:30,D8A46BD4C88C253B
413456470,40132646,120314635,1,BKWC6,3400,620,1641716578,1643624573,9751444,0,52,110,770,1,5000,SZ_36-1             ,180,MING YUAN 8,26770,0,1,铭远8,0,51,01-10 23:00,BB861725B762470E
412354730,38987401,118515074,1,BHJQ,30900,230,1643622406,1643624773,0,0,70,30,1130,1,3900,CAOEEIDIAN,170,DONG SHENG 103,36000,0,5,东升103,0,0,01-31 03:00,FE5777552A51F0F6
413423180,38990226,118526059,1,BLAD5,32600,280,1643606512,1643624511,0,0,70,120,1590,1,9400,"CAOFEIDIAN,CN",250,YONG SHENG 318,32170,0,5,永盛318,0,0,01-29 03:00,EA6E6C853B4081C7
413459840,39009824,117738111,1,H,0,120,1642634297,1643624833,0,0,80,40,520,1,17700,HIANJIN             ,90,YI HAI 007,0,0,8,义海007,0,0,11-12 12:58,DB33210BD2BF5E9B
477219700,39609262,120959842,2,VRMO5,21900,300,1643585783,1643605862,9669615,0,70,220,1800,0,7000,"QINGDAO,CN",300,MELBOURNE SPIRIT,21770,0,0,,0,6431,02-01 05:30,7F24933F31E031D1
413464962,32057782,120769149,99,,51100,0,1527442568,1632956647,0,0,70,0,0,1,0,,0,SHENG ZHOU 8,26220,32767,255,盛洲8,0,30712,,9754C5195DAD2184
413471240,30020649,121785591,1,BVBN8,35800,160,1643600007,1643624842,0,0,70,80,1140,1,6300,"NINGBO,CN",160,XIN JIA YUAN 237,0,0,5,鑫嘉源237,0,0,01-30 12:00,97C6FDA800D432CA
413503810,38968479,118266711,1,BMKX,29300,200,1643496916,1643624544,0,0,100,120,1400,1,7500,"TIANJIN,CN",200,XIN HONG XIANG 76,21600,0,1,新鸿翔76,0,51,01-29 13:00,222A3876FE69979E
413255560,30162648,121792682,99,BHGX,33200,300,1643590746,1643623088,0,0,70,70,1450,1,8200,"ZHENHAI,CN",210,JIN TAI 118,35500,0,1,金泰118,0,0,01-26 16:30,CB641C6FF02AED9A
374064000,38572091,119257384,2,3FNH9,12400,260,1643596585,1643623764,9123099,0,70,150,1810,1,8600,"YANGON,MM",260,LIN HAI,12300,0,0,林海,0,6533,02-15 10:00,C036C744792D9D06
413492960,31334322,121628172,1,BRRZ,29300,170,1643560019,1643624848,0,0,70,50,1020,1,4300,"SHANGHAI,CN",160,JING HAI WANG,0,-2,1,京海旺,0,0,01-31 02:00,14F3B878D4F59B84
413239490,22928678,112832388,1,BVIM8,51100,200,1642903210,1643623946,0,0,70,80,1150,0,3800,GAO MING,170,SU DA 7,9400,0,1,,0,51,01-21 09:00,F627C24FC33382E1
